x_acc,y_acc,z_acc,x_gyr,y_grc,z_grc,Azimuth,Pitch,Roll,Sisfall_Label_X4
4,-250,-24,49,18,-12,-1,-1015,-84,0
2,-247,-26,50,17,-12,-1,-1011,-79,0
3,-247,-22,50,18,-13,-2,-1011,-81,0
5,-246,-28,50,18,-12,-3,-1007,-86,0
0,-245,-21,49,18,-13,-3,-1012,-79,0
3,-247,-26,48,14,-12,-2,-1008,-84,0
5,-252,-25,46,15,-12,-1,-1021,-83,0
3,-247,-29,44,14,-11,-2,-1016,-84,0
4,-246,-24,42,12,-11,0,-1018,-92,0
2,-247,-26,42,11,-11,-4,-1014,-93,0
2,-249,-28,41,9,-11,-5,-1015,-84,0
5,-249,-25,38,8,-12,-5,-1013,-84,0
2,-246,-26,37,8,-12,-8,-1013,-87,0
4,-248,-26,35,8,-12,-8,-1017,-84,0
0,-250,-25,34,10,-15,-11,-1013,-91,0
5,-247,-27,33,12,-16,-7,-1014,-89,0
1,-249,-25,34,11,-17,-5,-1016,-88,0
1,-248,-25,36,14,-17,-2,-1020,-91,0
4,-246,-27,38,13,-17,-2,-1014,-89,0
1,-243,-30,42,16,-18,-7,-1017,-92,0
4,-245,-27,44,14,-17,-1,-1014,-99,0
3,-247,-27,45,15,-15,0,-1015,-96,0
6,-247,-32,43,13,-15,-3,-1017,-96,0
3,-246,-29,40,12,-14,4,-1011,-96,0
3,-242,-27,36,10,-13,-2,-1011,-99,0
4,-245,-23,29,8,-13,0,-1012,-93,0
4,-246,-24,24,8,-13,5,-1011,-97,0
5,-245,-29,19,5,-12,3,-1011,-90,0
4,-246,-26,14,4,-12,-2,-1006,-91,0
4,-246,-28,11,4,-12,0,-1010,-88,0
6,-245,-24,8,2,-11,-1,-1004,-89,0
3,-246,-27,6,4,-11,-3,-1011,-88,0
5,-248,-27,4,7,-13,-2,-1007,-90,0
0,-244,-27,1,10,-13,-5,-1016,-93,0
2,-245,-29,-4,15,-14,-2,-1009,-97,0
5,-249,-29,-7,20,-15,-1,-1017,-98,0
3,-247,-25,-7,27,-16,4,-1014,-98,0
5,-248,-29,-7,35,-16,3,-1020,-104,0
4,-246,-30,-6,40,-16,-1,-1017,-109,0
6,-247,-29,-7,44,-16,1,-1015,-99,0
4,-244,-29,-6,47,-17,8,-1012,-105,0
5,-243,-32,-12,49,-16,2,-1005,-102,0
3,-247,-26,-22,48,-17,1,-1004,-100,0
2,-242,-27,-31,47,-16,-3,-1006,-101,0
4,-240,-21,-43,46,-15,-1,-1004,-93,0
4,-246,-26,-58,44,-17,-5,-1002,-87,0
1,-242,-23,-70,39,-16,-9,-1000,-84,0
1,-244,-21,-81,36,-16,-7,-998,-82,0
3,-242,-23,-89,32,-16,-11,-998,-77,0
1,-242,-25,-97,28,-14,-9,-997,-83,0
4,-242,-25,-104,29,-15,-10,-997,-88,0
3,-245,-23,-108,25,-15,-15,-997,-85,0
2,-242,-22,-107,26,-16,-10,-993,-83,0
1,-246,-21,-105,25,-19,-14,-999,-83,0
1,-248,-23,-104,26,-20,-10,-1004,-81,0
1,-244,-27,-107,26,-22,-15,-998,-78,0
1,-242,-17,-114,24,-28,-18,-995,-73,0
-2,-240,-21,-127,21,-32,-15,-992,-72,0
0,-246,-19,-139,19,-35,-11,-1014,-64,0
2,-248,-24,-139,26,-34,-12,-1022,-68,0
0,-246,-20,-135,27,-30,-3,-1013,-69,0
4,-246,-17,-133,28,-30,-2,-1009,-64,0
4,-248,-19,-130,27,-30,-5,-1005,-67,0
1,-242,-23,-126,23,-32,-6,-1002,-66,0
5,-243,-20,-125,20,-32,0,-1004,-63,0
2,-239,-23,-125,17,-31,-3,-1006,-65,0
5,-243,-21,-132,13,-33,-1,-992,-75,0
5,-244,-20,-138,8,-36,-5,-1001,-80,0
2,-244,-27,-148,6,-37,0,-1000,-80,0
3,-241,-27,-160,4,-38,6,-995,-87,0
7,-242,-26,-175,2,-42,3,-990,-87,0
7,-246,-29,-190,1,-47,9,-990,-88,0
7,-241,-28,-202,2,-48,10,-997,-82,0
5,-240,-30,-215,3,-49,7,-992,-85,0
5,-239,-22,-228,4,-50,5,-992,-87,0
4,-243,-24,-243,6,-51,8,-993,-97,0
10,-240,-28,-256,8,-48,11,-990,-94,0
3,-239,-30,-268,14,-49,8,-993,-100,0
6,-244,-28,-285,15,-56,9,-997,-92,0
9,-243,-31,-300,18,-59,13,-994,-103,0
9,-241,-30,-314,19,-60,12,-994,-105,0
7,-241,-30,-326,20,-62,14,-994,-103,0
11,-242,-31,-337,18,-64,14,-988,-115,0
9,-241,-30,-350,16,-66,20,-990,-109,0
4,-240,-34,-364,12,-62,17,-990,-116,0
10,-244,-36,-379,9,-57,19,-993,-117,0
4,-241,-34,-395,7,-50,14,-983,-118,0
5,-243,-31,-416,2,-48,13,-987,-118,0
7,-239,-37,-436,-4,-46,13,-990,-121,0
7,-241,-37,-454,-8,-43,14,-994,-125,0
4,-239,-36,-468,-12,-42,12,-991,-123,0
5,-247,-35,-482,-16,-37,5,-996,-126,0
-6,-111,213,54,10,-8,-64,-468,895,0
-2,-113,215,57,10,-9,-67,-466,890,0
-2,-108,215,59,13,-9,-64,-467,899,0
1,-118,219,62,17,-10,-65,-465,890,0
-4,-110,216,66,20,-12,-65,-470,899,0
-3,-111,215,67,23,-11,-63,-468,894,0
-2,-112,217,68,24,-12,-66,-464,893,0
-4,-108,214,69,25,-12,-71,-467,896,0
-2,-114,212,70,25,-10,-70,-465,896,0
-2,-112,217,72,24,-10,-69,-469,901,0
-7,-112,216,73,24,-10,-75,-466,898,0
-5,-113,216,74,24,-9,-68,-463,893,0
-5,-107,218,75,24,-8,-70,-473,897,0
-7,-114,219,78,24,-9,-72,-473,894,0
-5,-115,219,83,24,-7,-73,-478,903,0
-7,-113,217,91,23,-8,-74,-475,893,0
-4,-113,215,99,24,-8,-71,-478,896,0
-9,-114,216,108,23,-8,-76,-481,899,0
-3,-114,219,118,22,-7,-73,-483,897,0
-6,-116,213,128,21,-7,-79,-480,899,0
-6,-111,221,135,21,-8,-74,-478,902,0
-7,-109,217,140,21,-9,-73,-477,902,0
-4,-112,221,143,24,-7,-75,-472,904,0
-8,-111,217,142,24,-7,-71,-473,901,0
1,-107,224,140,26,-6,-72,-471,906,0
-4,-111,218,134,28,-5,-74,-470,915,0
-5,-110,221,130,30,-5,-76,-467,915,0
-5,-111,222,124,31,-3,-74,-466,918,0
-6,-109,220,117,31,-4,-75,-465,923,0
-8,-107,219,110,31,-3,-75,-464,918,0
-6,-108,223,105,32,-2,-73,-466,919,0
-8,-110,224,101,30,-1,-75,-462,923,0
-5,-108,221,95,30,-2,-76,-464,919,0
-7,-106,218,94,30,-2,-73,-465,924,0
-4,-109,224,91,30,-2,-67,-460,916,0
-2,-111,224,91,30,-3,-68,-463,914,0
-6,-107,221,93,31,-5,-71,-464,910,0
-6,-107,225,95,31,-6,-68,-462,921,0
-4,-108,222,99,31,-7,-63,-462,918,0
-7,-106,223,101,29,-10,-66,-459,909,0
-5,-109,222,106,29,-9,-73,-456,915,0
-4,-109,219,111,28,-10,-77,-455,917,0
-6,-108,224,115,27,-10,-73,-457,916,0
-4,-108,221,119,24,-12,-68,-462,915,0
-6,-109,222,122,22,-11,-77,-460,913,0
-4,-108,220,124,18,-11,-71,-457,914,0
-12,-108,222,123,16,-11,-73,-458,910,0
-5,-110,218,122,15,-10,-75,-459,918,0
-7,-107,220,122,13,-9,-77,-457,912,0
-8,-108,222,120,13,-8,-69,-459,917,0
-7,-110,223,118,14,-8,-73,-462,913,0
-5,-108,223,117,15,-9,-74,-460,915,0
-7,-108,223,117,17,-10,-75,-461,917,0
-4,-110,223,117,19,-9,-71,-461,915,0
-4,-108,219,117,23,-7,-76,-461,908,0
-6,-107,220,119,25,-7,-74,-462,918,0
-5,-104,222,120,27,-8,-73,-459,917,0
-12,-109,217,121,29,-9,-75,-461,914,0
-5,-109,228,123,31,-5,-80,-455,918,0
-5,-109,224,124,31,-5,-80,-459,917,0
-6,-108,222,124,32,-4,-79,-457,914,0
-9,-105,224,125,31,-4,-74,-452,920,0
-5,-106,225,123,31,-3,-82,-455,914,0
-6,-106,224,120,31,-2,-77,-448,915,0
-5,-107,223,117,30,-3,-73,-451,924,0
-6,-108,217,114,27,-2,-74,-452,917,0
-8,-103,222,111,28,-1,-77,-452,916,0
-4,-108,223,108,28,-2,-70,-454,915,0
-8,-106,224,104,30,-1,-79,-452,920,0
-5,-106,223,101,32,-2,-77,-456,917,0
-4,-109,220,97,33,-4,-81,-456,921,0
-7,-106,224,93,34,-3,-77,-451,917,0
-7,-108,223,91,35,-3,-76,-455,917,0
-8,-104,224,89,35,-2,-78,-457,924,0
-7,-108,224,89,36,-5,-82,-456,919,0
-5,-108,224,89,36,-5,-76,-462,918,0
-6,-109,224,90,37,-5,-74,-453,921,0
-5,-107,222,89,37,-6,-80,-448,926,0
-10,-107,226,90,37,-6,-73,-454,928,0
-8,-102,229,92,36,-7,-79,-452,925,0
-5,-104,224,93,34,-7,-78,-454,927,0
-6,-104,225,97,32,-7,-82,-453,921,0
-4,-105,223,98,31,-6,-84,-453,920,0
-10,-103,225,100,29,-7,-82,-445,925,0
-8,-104,224,102,28,-7,-76,-447,922,0
-9,-104,219,104,26,-9,-79,-441,925,0
-9,-107,227,107,26,-8,-77,-442,923,0
-6,-101,223,107,26,-7,-75,-436,930,0
-9,-105,227,108,28,-9,-84,-444,933,0
-5,-108,228,110,28,-9,-78,-444,936,0
-1,-108,236,108,27,-9,-81,-449,936,0
-9,-108,226,109,29,-7,-78,-455,928,0
-7,-109,226,110,28,-8,-82,-445,935,0
-9,-104,229,110,27,-7,-76,-452,931,0
-4,-105,226,110,25,-7,-82,-454,933,0
-7,-108,229,113,24,-7,-87,-453,924,0
-7,-108,225,114,22,-6,-83,-455,932,0
-9,-105,225,113,22,-6,-86,-448,922,0
-6,-105,220,114,23,-6,-74,-453,922,0
-7,-106,220,115,24,-5,-82,-453,921,0
-4,-108,221,117,25,-5,-83,-447,911,0
-8,-108,220,119,27,-4,-79,-446,916,0
-6,-106,216,121,30,-2,-80,-452,916,0
-7,-106,220,123,30,-2,-69,-446,916,0
-7,-105,221,125,29,-2,-69,-445,911,0
-5,-106,221,129,29,-3,-68,-446,909,0
-6,-105,220,131,29,-3,-70,-444,910,0
-7,-103,224,133,29,-3,-72,-440,917,0
-4,-101,223,135,26,-4,-76,-436,922,0
-5,-102,221,136,25,-3,-78,-435,919,0
-5,-106,221,135,24,-3,-75,-437,916,0
-6,-100,223,135,23,-5,-81,-435,923,0
-4,-102,222,132,23,-4,-80,-435,923,0
-2,-103,222,128,23,-3,-79,-433,922,0
-6,-100,221,123,25,-5,-78,-432,927,0
-8,-100,221,117,26,-4,-71,-437,928,0
-8,-104,223,111,27,-4,-80,-436,928,0
-6,-100,225,104,30,-4,-82,-435,934,0
-5,-101,227,98,32,-4,-83,-435,929,0
-7,-101,232,93,32,-5,-83,-437,934,0
-8,-103,223,88,33,-5,-83,-439,938,0
-8,-105,232,83,33,-4,-84,-437,940,0
-3,-104,223,80,32,-5,-85,-439,934,0
-8,-100,224,77,32,-5,-83,-438,936,0
-9,-101,228,75,32,-6,-88,-439,946,0
-10,-101,228,74,30,-5,-86,-438,932,0
-9,-101,229,73,29,-7,-85,-439,932,0
-8,-105,225,74,27,-6,-85,-439,937,0
-9,-101,228,74,27,-7,-85,-442,933,0
-9,-103,223,76,26,-5,-86,-441,934,0
-9,-103,226,78,26,-6,-87,-439,938,0
-6,-102,229,81,25,-7,-87,-439,932,0
-6,-102,222,83,24,-8,-89,-440,930,0
-3,-107,225,84,24,-7,-84,-440,931,0
-12,-101,225,87,23,-8,-88,-437,930,0
-9,-102,225,89,25,-7,-87,-438,930,0
-8,-101,227,90,23,-8,-86,-438,928,0
-8,-103,228,91,22,-8,-91,-436,926,0
-5,-106,224,89,21,-7,-88,-436,929,0
-8,-103,224,89,21,-9,-88,-430,923,0
-9,-97,224,89,21,-7,-93,-436,929,0
-8,-104,223,88,19,-9,-89,-433,931,0
-10,-104,227,86,17,-7,-89,-432,935,0
-8,-102,226,84,15,-9,-93,-434,930,0
-13,-104,229,82,14,-7,-87,-432,936,0
-8,-100,227,78,13,-5,-85,-429,939,0
-11,-101,227,74,12,-8,-89,-432,936,0
-8,-103,226,67,11,-10,-86,-435,940,0
-9,-100,227,62,13,-11,-90,-438,937,0
-9,-102,227,57,13,-11,-88,-434,938,0
-10,-104,224,52,15,-9,-92,-435,934,0
-12,-101,226,47,16,-9,-92,-431,932,0
-12,-101,230,44,18,-9,-84,-436,937,0
-10,-105,225,42,20,-9,-89,-436,929,0
-12,-98,229,38,22,-10,-86,-433,937,0
-8,-103,234,38,23,-9,-87,-437,938,0
-9,-99,225,36,24,-9,-91,-439,928,0
-10,-101,226,34,24,-9,-89,-435,932,0
-10,-103,228,35,24,-9,-91,-436,936,0
-10,-101,226,35,25,-11,-90,-436,934,0
-7,-101,225,38,26,-9,-88,-434,926,0
-7,-102,230,41,26,-12,-86,-434,925,0
-11,-101,226,43,26,-10,-91,-433,932,0
-9,-102,225,45,26,-9,-86,-441,929,0
-4,-99,223,48,24,-9,-87,-436,929,0
-12,-102,227,51,23,-9,-82,-440,932,0
-14,-100,219,53,20,-9,-85,-433,934,0
-5,-102,226,57,18,-9,-91,-437,934,0
-6,-105,226,60,17,-9,-87,-437,935,0
-11,-100,228,61,16,-11,-82,-436,930,0
-9,-100,228,62,15,-11,-87,-432,932,0
-12,-102,227,62,15,-10,-89,-434,933,0
-9,-101,225,62,13,-9,-87,-431,934,0
-9,-101,224,62,13,-9,-88,-434,926,0
-8,-100,225,59,12,-10,-91,-430,931,0
-6,-98,229,57,13,-10,-89,-433,931,0
-6,-103,226,53,11,-10,-91,-433,933,0
-14,-97,225,50,13,-11,-90,-434,933,0
-12,-99,224,47,12,-11,-87,-435,931,0
-10,-100,227,45,13,-12,-89,-433,935,0
-10,-98,226,42,12,-11,-90,-430,929,0
-5,-100,225,41,11,-13,-81,-435,929,0
-9,-101,226,39,12,-11,-85,-434,934,0
-12,-100,227,37,12,-11,-87,-431,930,0
-9,-99,228,36,13,-12,-86,-430,931,0
-10,-100,227,36,11,-13,-90,-434,930,0
-4,-102,223,34,11,-12,-88,-434,932,0
-5,-96,228,34,10,-10,-82,-434,930,0
-8,-97,223,33,11,-12,-92,-430,931,0
-7,-99,227,31,9,-12,-86,-433,929,0
-12,-100,224,32,10,-10,-86,-440,929,0
-7,-106,223,31,11,-8,-83,-437,929,0
-9,-104,225,30,12,-8,-84,-437,930,0
-9,-105,226,31,12,-9,-84,-436,934,0
-9,-103,224,30,13,-8,-82,-441,934,0
-11,-103,226,32,13,-9,-83,-435,932,0
-9,-101,222,34,13,-9,-85,-438,927,0
-12,-100,230,36,14,-9,-85,-436,932,0
-9,-100,228,39,13,-9,-88,-438,928,0
-15,-100,230,40,12,-11,-88,-436,926,0
